epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	64	2.3059	0.09852	0.0000	0.00000	2.3036	0.10000
1	128	2.3053	0.09912	0.0000	0.00000	2.3034	0.10000
2	199	2.3047	0.10228	0.0000	0.00000	2.3033	0.10000
3	271	2.3043	0.10212	0.0000	0.00000	2.3034	0.10000
4	336	2.3042	0.10242	0.0000	0.00000	2.3033	0.10000
5	396	2.3032	0.10604	0.0000	0.00000	2.3034	0.09930
6	459	2.3027	0.10664	0.0000	0.00000	2.3035	0.10120
7	520	2.3022	0.10928	0.0000	0.00000	2.3035	0.09680
8	582	2.3016	0.10976	0.0000	0.00000	2.3036	0.09580
9	639	2.3010	0.11136	0.0000	0.00000	2.3037	0.09650
10	702	2.3001	0.11358	0.0000	0.00000	2.3038	0.09910
11	769	2.2991	0.11630	0.0000	0.00000	2.3040	0.09880
12	843	2.2986	0.11678	0.0000	0.00000	2.3041	0.09650
13	908	2.2985	0.11650	0.0000	0.00000	2.3042	0.10000
14	981	2.2974	0.11964	0.0000	0.00000	2.3044	0.10000
15	1051	2.2965	0.12012	0.0000	0.00000	2.3046	0.10000
16	1120	2.2965	0.12160	0.0000	0.00000	2.3048	0.10000
17	1188	2.2961	0.12166	0.0000	0.00000	2.3049	0.10000
18	1258	2.2952	0.12450	0.0000	0.00000	2.3051	0.10000
19	1332	2.2942	0.12458	0.0000	0.00000	2.3053	0.10000
20	1397	2.2938	0.12528	0.0000	0.00000	2.3054	0.10000
21	1468	2.2928	0.12828	0.0000	0.00000	2.3057	0.10000
22	1542	2.2928	0.12698	0.0000	0.00000	2.3060	0.10000
23	1613	2.2920	0.12854	0.0000	0.00000	2.3060	0.10000
24	1686	2.2905	0.13320	0.0000	0.00000	2.3063	0.10000
25	1756	2.2900	0.13400	0.0000	0.00000	2.3065	0.10000
26	1825	2.2892	0.13646	0.0000	0.00000	2.3067	0.10000
27	1897	2.2894	0.13348	0.0000	0.00000	2.3069	0.10000
28	1970	2.2890	0.13634	0.0000	0.00000	2.3072	0.10000
29	2038	2.2884	0.13566	0.0000	0.00000	2.3073	0.10000
30	2102	2.2865	0.13892	0.0000	0.00000	2.3077	0.10000
31	2170	2.2877	0.13574	0.0000	0.00000	2.3077	0.10000
32	2236	2.2863	0.14030	0.0000	0.00000	2.3080	0.10000
33	2302	2.2855	0.13822	0.0000	0.00000	2.3082	0.10000
34	2364	2.2847	0.14018	0.0000	0.00000	2.3087	0.10000
35	2426	2.2843	0.14024	0.0000	0.00000	2.3089	0.10000
36	2486	2.2840	0.14182	0.0000	0.00000	2.3093	0.10000
37	2547	2.2837	0.13906	0.0000	0.00000	2.3096	0.10000
38	2613	2.2830	0.14110	0.0000	0.00000	2.3099	0.10000
39	2679	2.2827	0.14358	0.0000	0.00000	2.3098	0.10000
40	2748	2.2828	0.14020	0.0000	0.00000	2.3099	0.10000
41	2817	2.2819	0.14310	0.0000	0.00000	2.3107	0.10000
42	2885	2.2812	0.14312	0.0000	0.00000	2.3107	0.10000
43	2956	2.2800	0.14686	0.0000	0.00000	2.3111	0.10000
44	3026	2.2798	0.14494	0.0000	0.00000	2.3112	0.10000
45	3096	2.2804	0.14266	0.0000	0.00000	2.3112	0.10000
46	3166	2.2797	0.14466	0.0000	0.00000	2.3116	0.10000
47	3234	2.2793	0.14170	0.0000	0.00000	2.3116	0.10000
48	3302	2.2776	0.14548	0.0000	0.00000	2.3120	0.10000
49	3370	2.2778	0.14552	0.0000	0.00000	2.3122	0.10000
50	3439	2.2768	0.14730	0.0000	0.00000	2.3127	0.10000
51	3506	2.2768	0.14724	0.0000	0.00000	2.3127	0.10000
52	3574	2.2762	0.14834	0.0000	0.00000	2.3125	0.10000
53	3644	2.2751	0.14936	0.0000	0.00000	2.3128	0.10000
54	3714	2.2748	0.15144	0.0000	0.00000	2.3131	0.10000
55	3781	2.2745	0.14946	0.0000	0.00000	2.3138	0.10000
56	3846	2.2744	0.15040	0.0000	0.00000	2.3138	0.10000
57	3908	2.2741	0.14884	0.0000	0.00000	2.3141	0.10000
58	3968	2.2732	0.15106	0.0000	0.00000	2.3144	0.10000
59	4027	2.2727	0.15098	0.0000	0.00000	2.3145	0.10000
60	4086	2.2725	0.15198	0.0000	0.00000	2.3146	0.10000
61	4145	2.2728	0.15144	0.0000	0.00000	2.3149	0.10000
62	4204	2.2718	0.15228	0.0000	0.00000	2.3149	0.10000
63	4273	2.2718	0.15212	0.0000	0.00000	2.3152	0.10000
64	4353	2.2714	0.15200	0.0000	0.00000	2.3147	0.10000
65	4433	2.2710	0.15102	0.0000	0.00000	2.3151	0.10000
66	4513	2.2705	0.15394	0.0000	0.00000	2.3154	0.10000
67	4591	2.2695	0.15390	0.0000	0.00000	2.3152	0.10000
68	4667	2.2709	0.15078	0.0000	0.00000	2.3153	0.10000
69	4747	2.2691	0.15332	0.0000	0.00000	2.3154	0.10000
70	4829	2.2694	0.15490	0.0000	0.00000	2.3155	0.10000
71	4915	2.2695	0.15272	0.0000	0.00000	2.3157	0.10000
72	5001	2.2682	0.15558	0.0000	0.00000	2.3156	0.10000
73	5084	2.2684	0.15474	0.0000	0.00000	2.3157	0.10000
74	5164	2.2676	0.15470	0.0000	0.00000	2.3160	0.10000
75	5252	2.2685	0.15384	0.0000	0.00000	2.3157	0.10000
