epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	65	2.3038	0.10390	0.0000	0.00000	2.3036	0.08920
1	128	2.2972	0.11900	0.0000	0.00000	2.3052	0.10000
2	201	2.2909	0.13090	0.0000	0.00000	2.3071	0.10000
3	268	2.2845	0.13914	0.0000	0.00000	2.3105	0.10000
4	332	2.2808	0.14266	0.0000	0.00000	2.3127	0.10000
5	394	2.2748	0.15074	0.0000	0.00000	2.3146	0.10000
6	457	2.2716	0.15094	0.0000	0.00000	2.3156	0.10000
7	521	2.2686	0.15374	0.0000	0.00000	2.3170	0.10000
8	585	2.2656	0.15516	0.0000	0.00000	2.3174	0.09990
9	647	2.2621	0.16138	0.0000	0.00000	2.3181	0.09990
10	709	2.2607	0.16262	0.0000	0.00000	2.3193	0.09310
11	771	2.2592	0.16356	0.0000	0.00000	2.3195	0.10000
12	846	2.2572	0.16650	0.0000	0.00000	2.3204	0.10000
13	919	2.2563	0.16752	0.0000	0.00000	2.3206	0.10000
14	993	2.2539	0.17188	0.0000	0.00000	2.3215	0.10000
15	1065	2.2530	0.17060	0.0000	0.00000	2.3219	0.10000
16	1139	2.2521	0.17234	0.0000	0.00000	2.3220	0.10000
17	1211	2.2501	0.17410	0.0000	0.00000	2.3223	0.10000
18	1285	2.2491	0.17564	0.0000	0.00000	2.3225	0.10000
19	1360	2.2478	0.17660	0.0000	0.00000	2.3229	0.10000
20	1437	2.2461	0.18010	0.0000	0.00000	2.3232	0.10000
21	1507	2.2452	0.18204	0.0000	0.00000	2.3228	0.10000
22	1576	2.2439	0.18448	0.0000	0.00000	2.3235	0.10000
23	1650	2.2429	0.18564	0.0000	0.00000	2.3222	0.10000
24	1721	2.2398	0.18938	0.0000	0.00000	2.3222	0.10000
25	1797	2.2387	0.19318	0.0000	0.00000	2.3221	0.10010
26	1870	2.2361	0.19598	0.0000	0.00000	2.3225	0.10000
27	1944	2.2354	0.19726	0.0000	0.00000	2.3205	0.10080
28	2015	2.2320	0.20358	0.0000	0.00000	2.3204	0.10090
29	2084	2.2302	0.20580	0.0000	0.00000	2.3187	0.10120
30	2153	2.2272	0.21234	0.0000	0.00000	2.3177	0.10310
31	2220	2.2243	0.21552	0.0000	0.00000	2.3136	0.11330
32	2285	2.2220	0.21612	0.0000	0.00000	2.3139	0.11030
33	2348	2.2212	0.21670	0.0000	0.00000	2.3055	0.12430
34	2409	2.2196	0.21972	0.0000	0.00000	2.3039	0.12710
35	2470	2.2159	0.22424	0.0000	0.00000	2.3003	0.13250
36	2530	2.2160	0.22262	0.0000	0.00000	2.2956	0.13750
37	2596	2.2125	0.22664	0.0000	0.00000	2.2892	0.14580
38	2669	2.2118	0.22798	0.0000	0.00000	2.2888	0.14620
39	2741	2.2102	0.23104	0.0000	0.00000	2.2842	0.15570
40	2814	2.2076	0.23346	0.0000	0.00000	2.2798	0.16100
41	2887	2.2070	0.23338	0.0000	0.00000	2.2785	0.16290
42	2961	2.2053	0.23568	0.0000	0.00000	2.2736	0.17010
43	3029	2.2016	0.24086	0.0000	0.00000	2.2749	0.16710
44	3097	2.1988	0.24622	0.0000	0.00000	2.2657	0.17540
45	3166	2.1956	0.24992	0.0000	0.00000	2.2657	0.17430
46	3235	2.1936	0.24970	0.0000	0.00000	2.2590	0.17850
47	3303	2.1913	0.25328	0.0000	0.00000	2.2534	0.18420
48	3372	2.1896	0.25436	0.0000	0.00000	2.2577	0.17790
49	3442	2.1845	0.26012	0.0000	0.00000	2.2514	0.18350
50	3512	2.1832	0.26406	0.0000	0.00000	2.2537	0.18330
51	3581	2.1804	0.26602	0.0000	0.00000	2.2490	0.18740
52	3648	2.1795	0.26512	0.0000	0.00000	2.2500	0.18630
53	3714	2.1766	0.26826	0.0000	0.00000	2.2456	0.18920
54	3780	2.1751	0.27112	0.0000	0.00000	2.2408	0.19610
55	3844	2.1717	0.27418	0.0000	0.00000	2.2493	0.18580
56	3906	2.1703	0.27506	0.0000	0.00000	2.2537	0.18180
57	3968	2.1676	0.27826	0.0000	0.00000	2.2473	0.18800
58	4029	2.1659	0.28180	0.0000	0.00000	2.2531	0.18210
59	4090	2.1639	0.28298	0.0000	0.00000	2.2453	0.19190
60	4150	2.1619	0.28316	0.0000	0.00000	2.2530	0.18300
61	4209	2.1589	0.28718	0.0000	0.00000	2.2448	0.19210
62	4281	2.1576	0.28874	0.0000	0.00000	2.2424	0.19610
63	4362	2.1553	0.29108	0.0000	0.00000	2.2400	0.19880
64	4443	2.1537	0.29172	0.0000	0.00000	2.2412	0.19590
65	4523	2.1540	0.29242	0.0000	0.00000	2.2329	0.20720
