epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
91	3827	1.7939	0.66530	0.0000	0.00000	1.7229	0.73700
92	3869	1.7938	0.66546	0.0000	0.00000	1.7231	0.73710
93	3910	1.7874	0.67194	0.0000	0.00000	1.7235	0.73670
94	3952	1.7899	0.66954	0.0000	0.00000	1.7598	0.70020
95	3994	1.7898	0.67000	0.0000	0.00000	1.7153	0.74520
96	4035	1.7880	0.67090	0.0000	0.00000	1.7435	0.71610
97	4077	1.7857	0.67360	0.0000	0.00000	1.7413	0.71810
98	4119	1.7863	0.67324	0.0000	0.00000	1.7194	0.74160
99	4160	1.7820	0.67716	0.0000	0.00000	1.7183	0.74120
100	4202	1.7829	0.67662	0.0000	0.00000	1.7172	0.74260
101	4244	1.7827	0.67666	0.0000	0.00000	1.7063	0.75450
102	4286	1.7767	0.68260	0.0000	0.00000	1.7057	0.75410
103	4327	1.7779	0.68140	0.0000	0.00000	1.7025	0.75790
104	4369	1.7790	0.68034	0.0000	0.00000	1.7050	0.75510
105	4411	1.7722	0.68754	0.0000	0.00000	1.6958	0.76370
106	4452	1.7736	0.68558	0.0000	0.00000	1.7015	0.75820
107	4494	1.7729	0.68664	0.0000	0.00000	1.7004	0.75830
108	4536	1.7692	0.69076	0.0000	0.00000	1.7100	0.74960
109	4577	1.7743	0.68486	0.0000	0.00000	1.7033	0.75730
110	4619	1.7700	0.68940	0.0000	0.00000	1.7107	0.75050
111	4661	1.7650	0.69486	0.0000	0.00000	1.7160	0.74390
112	4702	1.7710	0.68818	0.0000	0.00000	1.7087	0.75240
113	4744	1.7654	0.69434	0.0000	0.00000	1.7014	0.75970
114	4786	1.7646	0.69514	0.0000	0.00000	1.7279	0.73350
115	4827	1.7658	0.69406	0.0000	0.00000	1.7003	0.75980
116	4869	1.7612	0.69822	0.0000	0.00000	1.7008	0.75990
117	4911	1.7645	0.69528	0.0000	0.00000	1.6948	0.76610
118	4953	1.7611	0.69852	0.0000	0.00000	1.6978	0.76220
119	4994	1.7600	0.69942	0.0000	0.00000	1.6942	0.76600
120	5036	1.7582	0.70184	0.0000	0.00000	1.6919	0.76820
121	5078	1.7578	0.70192	0.0000	0.00000	1.6899	0.76990
122	5119	1.7558	0.70356	0.0000	0.00000	1.6897	0.77140
123	5161	1.7563	0.70356	0.0000	0.00000	1.6896	0.77060
124	5203	1.7523	0.70752	0.0000	0.00000	1.6885	0.77070
125	5244	1.7563	0.70346	0.0000	0.00000	1.6947	0.76420
126	5286	1.7522	0.70750	0.0000	0.00000	1.6870	0.77300
127	5328	1.7536	0.70582	0.0000	0.00000	1.6847	0.77440
128	5370	1.7516	0.70830	0.0000	0.00000	1.6806	0.77940
129	5411	1.7471	0.71276	0.0000	0.00000	1.6797	0.77870
130	5453	1.7478	0.71234	0.0000	0.00000	1.6832	0.77690
131	5495	1.7480	0.71158	0.0000	0.00000	1.6860	0.77410
132	5537	1.7463	0.71334	0.0000	0.00000	1.6805	0.77930
133	5579	1.7489	0.71030	0.0000	0.00000	1.6817	0.77900
134	5620	1.7444	0.71540	0.0000	0.00000	1.6786	0.78090
135	5662	1.7461	0.71382	0.0000	0.00000	1.6720	0.78780
136	5704	1.7423	0.71756	0.0000	0.00000	1.6823	0.77740
137	5745	1.7427	0.71764	0.0000	0.00000	1.6779	0.78210
138	5787	1.7380	0.72170	0.0000	0.00000	1.6732	0.78610
139	5829	1.7396	0.72048	0.0000	0.00000	1.6709	0.78910
140	5870	1.7392	0.72070	0.0000	0.00000	1.6740	0.78520
141	5912	1.7398	0.71994	0.0000	0.00000	1.6767	0.78360
142	5954	1.7379	0.72180	0.0000	0.00000	1.6755	0.78530
143	5995	1.7393	0.72014	0.0000	0.00000	1.6724	0.78860
144	6037	1.7372	0.72268	0.0000	0.00000	1.6806	0.78030
145	6079	1.7367	0.72304	0.0000	0.00000	1.6735	0.78620
146	6121	1.7369	0.72264	0.0000	0.00000	1.6814	0.77910
147	6163	1.7357	0.72426	0.0000	0.00000	1.6707	0.78900
148	6204	1.7367	0.72352	0.0000	0.00000	1.6680	0.79190
149	6246	1.7308	0.72922	0.0000	0.00000	1.6657	0.79490
150	6288	1.7311	0.72866	0.0000	0.00000	1.6676	0.79270
151	6329	1.7327	0.72648	0.0000	0.00000	1.6729	0.78740
152	6371	1.7286	0.73138	0.0000	0.00000	1.6661	0.79300
153	6412	1.7294	0.73038	0.0000	0.00000	1.6713	0.78850
154	6454	1.7278	0.73214	0.0000	0.00000	1.6658	0.79400
155	6496	1.7306	0.72896	0.0000	0.00000	1.6723	0.78800
156	6537	1.7272	0.73344	0.0000	0.00000	1.6678	0.79300
157	6579	1.7260	0.73362	0.0000	0.00000	1.6693	0.79070
158	6621	1.7238	0.73572	0.0000	0.00000	1.6612	0.79970
159	6662	1.7240	0.73572	0.0000	0.00000	1.6628	0.79740
160	6704	1.7221	0.73790	0.0000	0.00000	1.6652	0.79680
161	6746	1.7224	0.73764	0.0000	0.00000	1.6580	0.80130
162	6787	1.7237	0.73572	0.0000	0.00000	1.6634	0.79600
163	6829	1.7245	0.73546	0.0000	0.00000	1.6659	0.79390
164	6871	1.7251	0.73502	0.0000	0.00000	1.6557	0.80360
165	6912	1.7209	0.73924	0.0000	0.00000	1.6580	0.80240
166	6954	1.7240	0.73602	0.0000	0.00000	1.6639	0.79710
167	6996	1.7228	0.73700	0.0000	0.00000	1.6578	0.80280
168	7037	1.7217	0.73838	0.0000	0.00000	1.6639	0.79580
169	7079	1.7212	0.73822	0.0000	0.00000	1.6608	0.80020
170	7121	1.7195	0.74068	0.0000	0.00000	1.6624	0.79700
171	7162	1.7194	0.74080	0.0000	0.00000	1.6567	0.80320
172	7204	1.7183	0.74152	0.0000	0.00000	1.6577	0.80290
173	7246	1.7198	0.73988	0.0000	0.00000	1.6610	0.79940
174	7287	1.7170	0.74284	0.0000	0.00000	1.6529	0.80730
175	7329	1.7147	0.74484	0.0000	0.00000	1.6584	0.80070
176	7371	1.7131	0.74680	0.0000	0.00000	1.6544	0.80600
177	7412	1.7141	0.74584	0.0000	0.00000	1.6547	0.80530
178	7454	1.7149	0.74484	0.0000	0.00000	1.6529	0.80730
179	7496	1.7155	0.74400	0.0000	0.00000	1.6492	0.81140
