epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	41	nan	0.00000	0.0000	0.00000	nan	0.00000
1	82	nan	0.00000	0.0000	0.00000	nan	0.00000
2	123	nan	0.00000	0.0000	0.00000	nan	0.00000
3	164	nan	0.00000	0.0000	0.00000	nan	0.00000
4	206	nan	0.00000	0.0000	0.00000	nan	0.00000
5	247	nan	0.00000	0.0000	0.00000	nan	0.00000
6	288	nan	0.00000	0.0000	0.00000	nan	0.00000
7	329	nan	0.00000	0.0000	0.00000	nan	0.00000
8	370	nan	0.00000	0.0000	0.00000	nan	0.00000
9	411	nan	0.00000	0.0000	0.00000	nan	0.00000
10	452	nan	0.00000	0.0000	0.00000	nan	0.00000
11	493	nan	0.00000	0.0000	0.00000	nan	0.00000
12	535	nan	0.00000	0.0000	0.00000	nan	0.00000
13	576	nan	0.00000	0.0000	0.00000	nan	0.00000
14	617	nan	0.00000	0.0000	0.00000	nan	0.00000
15	658	nan	0.00000	0.0000	0.00000	nan	0.00000
16	699	nan	0.00000	0.0000	0.00000	nan	0.00000
17	741	nan	0.00000	0.0000	0.00000	nan	0.00000
18	782	nan	0.00000	0.0000	0.00000	nan	0.00000
19	823	nan	0.00000	0.0000	0.00000	nan	0.00000
20	864	nan	0.00000	0.0000	0.00000	nan	0.00000
21	905	nan	0.00000	0.0000	0.00000	nan	0.00000
22	946	nan	0.00000	0.0000	0.00000	nan	0.00000
23	987	nan	0.00000	0.0000	0.00000	nan	0.00000
24	1029	nan	0.00000	0.0000	0.00000	nan	0.00000
25	1070	nan	0.00000	0.0000	0.00000	nan	0.00000
26	1111	nan	0.00000	0.0000	0.00000	nan	0.00000
27	1152	nan	0.00000	0.0000	0.00000	nan	0.00000
28	1193	nan	0.00000	0.0000	0.00000	nan	0.00000
29	1235	nan	0.00000	0.0000	0.00000	nan	0.00000
30	1276	nan	0.00000	0.0000	0.00000	nan	0.00000
31	1317	nan	0.00000	0.0000	0.00000	nan	0.00000
32	1358	nan	0.00000	0.0000	0.00000	nan	0.00000
33	1399	nan	0.00000	0.0000	0.00000	nan	0.00000
34	1440	nan	0.00000	0.0000	0.00000	nan	0.00000
35	1482	nan	0.00000	0.0000	0.00000	nan	0.00000
36	1523	nan	0.00000	0.0000	0.00000	nan	0.00000
37	1564	nan	0.00000	0.0000	0.00000	nan	0.00000
38	1605	nan	0.00000	0.0000	0.00000	nan	0.00000
39	1647	nan	0.00000	0.0000	0.00000	nan	0.00000
40	1688	nan	0.00000	0.0000	0.00000	nan	0.00000
41	1729	nan	0.00000	0.0000	0.00000	nan	0.00000
42	1770	nan	0.00000	0.0000	0.00000	nan	0.00000
43	1811	nan	0.00000	0.0000	0.00000	nan	0.00000
44	1852	nan	0.00000	0.0000	0.00000	nan	0.00000
45	1894	nan	0.00000	0.0000	0.00000	nan	0.00000
46	1935	nan	0.00000	0.0000	0.00000	nan	0.00000
47	1976	nan	0.00000	0.0000	0.00000	nan	0.00000
48	2017	nan	0.00000	0.0000	0.00000	nan	0.00000
49	2058	nan	0.00000	0.0000	0.00000	nan	0.00000
50	2100	nan	0.00000	0.0000	0.00000	nan	0.00000
51	2141	nan	0.00000	0.0000	0.00000	nan	0.00000
52	2182	nan	0.00000	0.0000	0.00000	nan	0.00000
53	2223	nan	0.00000	0.0000	0.00000	nan	0.00000
54	2264	nan	0.00000	0.0000	0.00000	nan	0.00000
55	2306	nan	0.00000	0.0000	0.00000	nan	0.00000
56	2347	nan	0.00000	0.0000	0.00000	nan	0.00000
57	2388	nan	0.00000	0.0000	0.00000	nan	0.00000
58	2429	nan	0.00000	0.0000	0.00000	nan	0.00000
59	2470	nan	0.00000	0.0000	0.00000	nan	0.00000
60	2512	nan	0.00000	0.0000	0.00000	nan	0.00000
61	2553	nan	0.00000	0.0000	0.00000	nan	0.00000
62	2594	nan	0.00000	0.0000	0.00000	nan	0.00000
63	2635	nan	0.00000	0.0000	0.00000	nan	0.00000
64	2676	nan	0.00000	0.0000	0.00000	nan	0.00000
65	2717	nan	0.00000	0.0000	0.00000	nan	0.00000
66	2758	nan	0.00000	0.0000	0.00000	nan	0.00000
