epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	43	2.5616	0.00000	0.0000	0.00000	2.3705	0.00000
1	85	2.5088	0.00000	0.0000	0.00000	2.4331	0.00000
2	128	2.4868	0.00000	0.0000	0.00000	2.4657	0.00000
3	171	2.4613	0.00000	0.0000	0.00000	2.4925	0.00000
4	214	2.4496	0.00000	0.0000	0.00000	2.5095	0.00000
5	256	2.4217	0.00000	0.0000	0.00000	2.5061	0.00000
6	299	2.4054	0.00000	0.0000	0.00000	2.5031	0.00000
7	342	2.3906	0.00000	0.0000	0.00000	2.5057	0.00000
8	384	2.3729	0.00000	0.0000	0.00000	2.5052	0.00000
9	427	2.3593	0.00000	0.0000	0.00000	2.5068	0.00000
10	469	2.3469	0.00000	0.0000	0.00000	2.5256	0.00000
11	512	2.3267	0.00000	0.0000	0.00000	2.5228	0.00000
12	554	2.3201	0.00000	0.0000	0.00000	2.5335	0.00000
13	597	2.3120	0.00000	0.0000	0.00000	2.5360	0.00000
14	639	2.2988	0.00000	0.0000	0.00000	2.5654	0.00000
15	681	2.2909	0.00000	0.0000	0.00000	2.5626	0.00000
16	724	2.2868	0.00000	0.0000	0.00000	2.5699	0.00000
17	766	2.2737	0.00000	0.0000	0.00000	2.5848	0.00000
18	809	2.2636	0.00000	0.0000	0.00000	2.5941	0.00000
19	851	2.2522	0.00000	0.0000	0.00000	2.6161	0.00000
20	893	2.2463	0.00000	0.0000	0.00000	2.6378	0.00000
21	935	2.2401	0.00000	0.0000	0.00000	2.6617	0.00000
22	977	2.2362	0.00000	0.0000	0.00000	2.6889	0.00000
23	1019	2.2240	0.00000	0.0000	0.00000	2.6707	0.00000
24	1061	2.2150	0.00000	0.0000	0.00000	2.7145	0.00000
25	1103	2.2122	0.00000	0.0000	0.00000	2.7399	0.00000
26	1145	2.2085	0.00000	0.0000	0.00000	2.7728	0.00000
27	1187	2.2057	0.00000	0.0000	0.00000	2.7497	0.00000
28	1230	2.1942	0.00000	0.0000	0.00000	2.7876	0.00000
29	1272	2.1928	0.00000	0.0000	0.00000	2.7740	0.00000
30	1314	2.1831	0.00000	0.0000	0.00000	2.8449	0.00000
31	1356	2.1775	0.00000	0.0000	0.00000	2.8615	0.00000
32	1398	2.1725	0.00000	0.0000	0.00000	2.8560	0.00000
33	1440	2.1691	0.00000	0.0000	0.00000	2.8406	0.00000
34	1482	2.1625	0.00000	0.0000	0.00000	2.8436	0.00000
35	1524	2.1586	0.00000	0.0000	0.00000	2.8465	0.00000
36	1566	2.1593	0.00000	0.0000	0.00000	2.8796	0.00000
37	1608	2.1527	0.00000	0.0000	0.00000	2.8700	0.00000
38	1650	2.1504	0.00000	0.0000	0.00000	2.9183	0.00000
39	1692	2.1430	0.00000	0.0000	0.00000	2.8898	0.00000
40	1734	2.1404	0.00000	0.0000	0.00000	2.8963	0.00000
41	1776	2.1427	0.00000	0.0000	0.00000	2.8956	0.00000
42	1818	2.1375	0.00000	0.0000	0.00000	2.9209	0.00000
43	1861	2.1266	0.00000	0.0000	0.00000	2.9472	0.00000
44	1903	2.1267	0.00000	0.0000	0.00000	2.8985	0.00000
45	1945	2.1252	0.00000	0.0000	0.00000	2.9391	0.00000
46	1987	2.1215	0.00000	0.0000	0.00000	2.9665	0.00000
47	2029	2.1179	0.00000	0.0000	0.00000	2.9117	0.00000
48	2071	2.1152	0.00000	0.0000	0.00000	2.9235	0.00000
49	2113	2.1130	0.00000	0.0000	0.00000	2.9287	0.00000
50	2155	2.1036	0.00000	0.0000	0.00000	2.9481	0.00000
51	2197	2.1031	0.00000	0.0000	0.00000	2.9338	0.00000
52	2239	2.1019	0.00000	0.0000	0.00000	2.9357	0.00000
53	2281	2.0976	0.00000	0.0000	0.00000	2.9476	0.00000
54	2324	2.0921	0.00000	0.0000	0.00000	2.9408	0.00000
55	2366	2.0902	0.00000	0.0000	0.00000	2.9898	0.00000
56	2408	2.0881	0.00000	0.0000	0.00000	2.9784	0.00000
57	2450	2.0865	0.00000	0.0000	0.00000	2.9506	0.00000
58	2492	2.0807	0.00000	0.0000	0.00000	2.9772	0.00000
59	2534	2.0807	0.00000	0.0000	0.00000	2.9893	0.00000
60	2576	2.0737	0.00000	0.0000	0.00000	2.9921	0.00000
61	2618	2.0722	0.00000	0.0000	0.00000	2.9734	0.00000
62	2660	2.0672	0.00000	0.0000	0.00000	2.9649	0.00000
63	2703	2.0650	0.00000	0.0000	0.00000	2.9899	0.00000
64	2745	2.0631	0.00000	0.0000	0.00000	2.9881	0.00000
65	2787	2.0589	0.00000	0.0000	0.00000	3.0101	0.00000
66	2829	2.0605	0.00000	0.0000	0.00000	3.0204	0.00000
67	2871	2.0543	0.00000	0.0000	0.00000	2.9410	0.00000
68	2913	2.0505	0.00000	0.0000	0.00000	2.9947	0.00000
69	2955	2.0468	0.00000	0.0000	0.00000	2.9814	0.00000
70	2997	2.0476	0.00000	0.0000	0.00000	2.9471	0.00000
71	3039	2.0448	0.00000	0.0000	0.00000	2.9459	0.00000
72	3081	2.0382	0.00000	0.0000	0.00000	2.9559	0.00000
73	3124	2.0371	0.00000	0.0000	0.00000	2.9914	0.00000
74	3166	2.0298	0.00000	0.0000	0.00000	2.9801	0.00000
75	3208	2.0312	0.00000	0.0000	0.00000	2.9490	0.00000
76	3250	2.0311	0.00000	0.0000	0.00000	2.9227	0.00000
77	3292	2.0269	0.00000	0.0000	0.00000	2.9780	0.00000
78	3334	2.0253	0.00000	0.0000	0.00000	2.9481	0.00000
79	3376	2.0229	0.00000	0.0000	0.00000	2.9615	0.00000
80	3418	2.0172	0.00000	0.0000	0.00000	2.9701	0.00000
81	3460	2.0191	0.00000	0.0000	0.00000	2.9465	0.00000
82	3503	2.0165	0.00000	0.0000	0.00000	2.9188	0.00000
83	3545	2.0122	0.00000	0.0000	0.00000	2.9617	0.00000
84	3587	2.0097	0.00000	0.0000	0.00000	2.9572	0.00000
85	3629	2.0066	0.00000	0.0000	0.00000	2.9716	0.00000
86	3671	2.0059	0.00000	0.0000	0.00000	2.9120	0.00000
87	3713	2.0035	0.00000	0.0000	0.00000	2.9394	0.00000
88	3755	1.9996	0.00000	0.0000	0.00000	2.9206	0.00000
89	3797	2.0022	0.00000	0.0000	0.00000	2.8928	0.00000
90	3840	1.9973	0.00000	0.0000	0.00000	2.9848	0.00000
91	3882	1.9896	0.00000	0.0000	0.00000	2.9208	0.00000
92	3924	1.9921	0.00000	0.0000	0.00000	2.9457	0.00000
93	3966	1.9898	0.00000	0.0000	0.00000	2.9236	0.00000
94	4008	1.9893	0.00000	0.0000	0.00000	2.9048	0.00000
95	4050	1.9814	0.00000	0.0000	0.00000	2.9035	0.00000
96	4092	1.9794	0.00000	0.0000	0.00000	2.9383	0.00000
97	4134	1.9859	0.00000	0.0000	0.00000	2.8863	0.00000
98	4177	1.9801	0.00000	0.0000	0.00000	2.8921	0.00000
99	4219	1.9765	0.00000	0.0000	0.00000	2.9422	0.00000
100	4261	1.9767	0.00000	0.0000	0.00000	2.8417	0.00000
101	4304	1.9727	0.00000	0.0000	0.00000	2.9296	0.00000
102	4346	1.9748	0.00000	0.0000	0.00000	2.9161	0.00000
103	4389	1.9715	0.00000	0.0000	0.00000	2.8829	0.00000
104	4431	1.9675	0.00000	0.0000	0.00000	2.8638	0.00000
105	4474	1.9679	0.00000	0.0000	0.00000	2.8473	0.00000
106	4517	1.9641	0.00000	0.0000	0.00000	2.9019	0.00000
107	4559	1.9611	0.00000	0.0000	0.00000	2.8686	0.00000
108	4602	1.9647	0.00000	0.0000	0.00000	2.8879	0.00000
109	4645	1.9604	0.00000	0.0000	0.00000	2.8166	0.00000
110	4688	1.9606	0.00000	0.0000	0.00000	2.8327	0.00000
111	4730	1.9570	0.00000	0.0000	0.00000	2.8376	0.00000
112	4773	1.9584	0.00000	0.0000	0.00000	2.8688	0.00000
113	4815	1.9575	0.00000	0.0000	0.00000	2.8325	0.00000
114	4858	1.9550	0.00000	0.0000	0.00000	2.7783	0.00000
115	4901	1.9505	0.00000	0.0000	0.00000	2.7641	0.00000
116	4943	1.9488	0.00000	0.0000	0.00000	2.8743	0.00000
117	4986	1.9498	0.00000	0.0000	0.00000	2.7593	0.00000
