epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
0	42	2.4439	0.00000	0.0000	0.00000	2.4854	0.00000
1	84	2.2989	0.00000	0.0000	0.00000	2.6029	0.00000
2	125	2.2273	0.00000	0.0000	0.00000	2.7766	0.00000
3	167	2.1705	0.00000	0.0000	0.00000	2.8217	0.00000
4	209	2.1368	0.00000	0.0000	0.00000	2.9045	0.00000
5	251	2.1004	0.00000	0.0000	0.00000	2.8981	0.00000
6	293	2.0702	0.00000	0.0000	0.00000	2.8138	0.00000
7	334	2.0437	0.00000	0.0000	0.00000	2.9509	0.00000
8	376	2.0164	0.00000	0.0000	0.00000	2.8053	0.00000
9	418	1.9959	0.00000	0.0000	0.00000	2.8201	0.00000
10	460	1.9823	0.00000	0.0000	0.00000	2.7251	0.00000
11	501	1.9636	0.00000	0.0000	0.00000	2.7643	0.00000
12	543	1.9499	0.00000	0.0000	0.00000	2.6601	0.00000
13	585	1.9328	0.00000	0.0000	0.00000	2.6681	0.00000
14	626	1.9204	0.00000	0.0000	0.00000	2.6266	0.00000
15	668	1.9067	0.00000	0.0000	0.00000	2.5238	0.00000
16	709	1.8927	0.00000	0.0000	0.00000	2.5355	0.00000
17	751	1.8827	0.00000	0.0000	0.00000	2.4969	0.00000
18	792	1.8699	0.00000	0.0000	0.00000	2.5081	0.00000
19	833	1.8598	0.00000	0.0000	0.00000	2.4617	0.00000
20	875	1.8457	0.00000	0.0000	0.00000	2.3738	0.00000
21	916	1.8366	0.00000	0.0000	0.00000	2.3736	0.00000
22	957	1.8267	0.00000	0.0000	0.00000	2.4960	0.00000
23	999	1.8124	0.00000	0.0000	0.00000	2.3048	0.00000
24	1040	1.8035	0.00000	0.0000	0.00000	2.3403	0.00000
25	1081	1.7917	0.00000	0.0000	0.00000	2.4102	0.00000
26	1123	1.7803	0.00000	0.0000	0.00000	2.4266	0.00000
27	1164	1.7712	0.00000	0.0000	0.00000	2.3516	0.00000
28	1205	1.7594	0.00000	0.0000	0.00000	2.4087	0.00000
29	1247	1.7504	0.00000	0.0000	0.00000	2.2801	0.00000
30	1288	1.7361	0.00000	0.0000	0.00000	2.3688	0.00000
31	1329	1.7289	0.00000	0.0000	0.00000	2.3820	0.00000
32	1371	1.7161	0.00000	0.0000	0.00000	2.3774	0.00000
33	1412	1.7145	0.00000	0.0000	0.00000	2.3123	0.00000
34	1453	1.7018	0.00000	0.0000	0.00000	2.3606	0.00000
35	1495	1.6953	0.00000	0.0000	0.00000	2.2396	0.00000
36	1536	1.6870	0.00000	0.0000	0.00000	2.2506	0.00000
37	1577	1.6775	0.00000	0.0000	0.00000	2.1331	0.00000
38	1619	1.6706	0.00000	0.0000	0.00000	2.1948	0.00000
39	1660	1.6597	0.00000	0.0000	0.00000	2.0699	0.00000
40	1701	1.6509	0.00000	0.0000	0.00000	2.0946	0.00000
41	1743	1.6446	0.00000	0.0000	0.00000	2.0465	0.00000
42	1784	1.6333	0.00000	0.0000	0.00000	1.9895	0.00000
43	1825	1.6224	0.00000	0.0000	0.00000	1.9994	0.00000
44	1867	1.6185	0.00000	0.0000	0.00000	1.8853	0.00000
45	1908	1.6131	0.00000	0.0000	0.00000	1.8857	0.00000
46	1950	1.6003	0.00000	0.0000	0.00000	1.8698	0.00000
47	1991	1.5954	0.00000	0.0000	0.00000	1.8063	0.00000
48	2032	1.5851	0.00000	0.0000	0.00000	1.8188	0.00000
49	2074	1.5730	0.00000	0.0000	0.00000	1.7895	0.00000
50	2115	1.5669	0.00000	0.0000	0.00000	1.7248	0.00000
51	2156	1.5540	0.00000	0.0000	0.00000	1.7920	0.00000
52	2198	1.5447	0.00000	0.0000	0.00000	1.7333	0.00000
53	2239	1.5415	0.00000	0.0000	0.00000	1.7369	0.00000
54	2280	1.5246	0.00000	0.0000	0.00000	1.7140	0.00000
